"Pass","Ethelruda","start dated IUP","GrA-53000","end dated IUP","start Ahmarian","GrA-57597","GrA-53004","GrA-57542","GrA-54846","GrA-57603","GrA-57602","GrA-53001","Egbert","GrA-54847","GrA-57599","GrA-57598","GrA-57544","end Ahmarian","start UP","GrA-57545","GrA-53006","GrA-54848","end UP","start EPI","GrA-53005","end EPI",
56,-45650.6,-42152.2,-41797.6,-41705.9,-41484.8,-41386.5,-41074,-40794.6,-40719.3,-40162.1,-40247.6,-40469.8,-40266.2,-39742.8,-40021.2,-39409.4,-39058.8,-38523.8,-37887.2,-37868.5,-36219.7,-30278.3,-29745.7,-28135.4,-28134,-28132.8,
57,-44114.6,-42152.2,-42044.1,-41671.5,-41376.3,-41218,-40923.9,-40794.6,-40749.6,-40341.3,-40247.6,-40247.8,-40650.2,-39742.8,-40040.5,-39409.4,-39058.8,-38187.5,-38100.4,-37679,-36219.7,-30278.3,-29497.3,-27933.9,-27931.4,-27931.2,
58,-45124.5,-43016.3,-42044.1,-41686.1,-41376.3,-41218,-41184.9,-40794.6,-40749.6,-40341.3,-40247.6,-40247.8,-40376.6,-39742.8,-40150.6,-39451.2,-39058.8,-38504.8,-38161.3,-38035.2,-36219.7,-30006.9,-29207.4,-27933.9,-27933.8,-27931.2,
59,-42595,-42333.7,-42171.2,-41561.7,-41265,-41209.1,-40950.5,-40717.9,-40674.4,-40420.4,-40189.2,-40229,-40108.1,-39909.3,-40095.5,-39419.5,-39040.3,-38650.9,-38437.9,-38039.2,-35651,-30006.9,-29207.4,-27933.9,-27931.4,-27931.2,
60,-45480.1,-42381.3,-42273.3,-42025.1,-41991.7,-41127.2,-40907.9,-40717.9,-40674.4,-40277.6,-40276.8,-40461.6,-40597.8,-39909.3,-40095.5,-39982,-38901.4,-38896,-38285.4,-38212.1,-35651,-30006.9,-28649.5,-27933.9,-27931.4,-27931.2,
61,-46477.1,-42381.3,-42377.3,-42077,-41548.1,-41466.6,-40907.9,-40760.4,-40674.4,-40277.6,-40294.3,-40518.6,-40723.8,-40263.1,-40095.5,-39192.7,-39127,-38896,-38285.4,-38212.1,-35598.2,-30600.4,-28447.8,-27951.8,-27939,-27931.2,
62,-45688,-43745.4,-42292.7,-42263.4,-41548.1,-41389.2,-40811.1,-40800.2,-40674.4,-40277.6,-40265.6,-40312.4,-40285.8,-40263.1,-40095.5,-39572.9,-39127,-38896,-38672.1,-38212.1,-35598.2,-30600.4,-29963.3,-27951.8,-27931.4,-27931.2,
63,-44460.7,-43114.7,-42100.1,-42027.6,-41851.7,-41440.7,-41096,-40800.2,-40675.3,-40277.6,-40265.6,-40266.3,-40666.7,-40263.1,-40095.5,-39572.9,-39088.1,-38960.4,-38458.4,-38212.1,-35598.2,-30600.4,-29502.8,-27951.8,-27949,-27931.2,
64,-45157.8,-42455.7,-42104.4,-41992.9,-41673.4,-41440.7,-41381.6,-40747.6,-40675.3,-40303,-40265.6,-40629.4,-40683.7,-40263.1,-40095.5,-39839.5,-39088.1,-38773.4,-38292.4,-38212.1,-35598.2,-30600.4,-30206.8,-27951.8,-27932.5,-27931.2,
65,-47411,-42455.7,-42055.1,-41690.5,-41642.7,-41440.7,-41165.1,-40747.6,-40681.7,-40303,-40265.6,-40360.6,-40349.4,-40263.1,-40095.5,-39839.5,-39082.4,-38773.4,-38707.1,-38095.4,-35598.2,-30186.4,-28791.5,-28617.4,-28017,-27931.2,
66,-43518.8,-43103.2,-42162.9,-41909.2,-41471.3,-41341,-41142.3,-40844.6,-40681.7,-40304.3,-40417.7,-40329,-40709.5,-40263.1,-40095.5,-39839.5,-39082.4,-38773.4,-38440.6,-38095.4,-35598.2,-30186.4,-29436.3,-28146,-27954.6,-27931.2,
67,-45301.9,-43438.4,-42162.9,-41828.9,-41471.3,-41103.7,-40888.9,-40827.8,-40681.7,-40304.3,-40417.7,-40329,-40420.6,-40263.1,-40095.5,-39484.4,-38969.9,-38830,-38465.3,-38095.4,-36975.7,-30186.4,-28554.9,-28167.7,-27954.6,-27931.2,
68,-45377.7,-44720.7,-41600,-41488,-41453.6,-41227.2,-41019.5,-40699.7,-40681.7,-40356.6,-40417.7,-40329,-40381.6,-40263.1,-40095.5,-39484.4,-38969.9,-38619.8,-38604.6,-38156.5,-36975.7,-29753.9,-28181.6,-28130.6,-28080.1,-27109.7,
69,-45165.8,-42712.8,-42290.5,-41939,-41453.6,-41409.4,-41003.8,-40785.6,-40693.1,-40356.6,-40395.1,-40528.4,-40507.4,-40283.3,-40254.4,-39161.2,-38969.9,-38712.5,-38269.6,-38156.5,-36975.7,-29753.9,-28502,-28480.9,-28080.1,-22639.1,
70,-42832.6,-42523.2,-41633.5,-41581.4,-41270.4,-41022.3,-40957,-40785.6,-40693.1,-40356.6,-40303.4,-40464.6,-40527.4,-40283.3,-40254.4,-38842.9,-38969.9,-38712.5,-38467.9,-38262.8,-36975.7,-29753.9,-29050.9,-28954.3,-28080.1,-24187.9,
71,-47195.7,-42523.2,-42517.3,-42509.7,-41270.4,-41070.6,-40817.7,-40812.6,-40688.8,-40496,-40303.4,-40331.1,-40476.3,-40283.3,-40254.4,-39824.9,-38790.7,-38712.5,-38666.5,-38262.8,-36026.4,-30144.4,-29698,-28866.9,-28080.1,-25590.2,
72,-46277.8,-42523.2,-42515.8,-42509.7,-41392.8,-41020,-41007,-40977.4,-40688.8,-40434.3,-40297.4,-40640.9,-40546.2,-40283.3,-40254.4,-39824.9,-38790.7,-38785.7,-38678.9,-38262.8,-36026.4,-30755.9,-29435.6,-28730.6,-28080.1,-25988.8,
73,-43624.3,-43009.9,-41640.5,-41634.4,-41519.5,-41312.8,-41008.5,-40924.5,-40688.8,-40552.2,-40314.7,-40407.7,-40633.2,-40283.3,-40254.4,-39812.5,-38790.7,-38602.1,-38291.4,-38158,-36026.4,-30605.1,-29949.4,-29704.1,-27586.5,-25988.8,
74,-43860.9,-41682.8,-41622.2,-41618.5,-41582.6,-41222.3,-41105.7,-40954.7,-40790,-40501.3,-40314.7,-40407.7,-40818,-40283.3,-40254.4,-39812.5,-38987.4,-38726.2,-38580.2,-38158,-36026.4,-30605.1,-30232.4,-30087.4,-28151.9,-26399.2,
75,-46732.6,-41682.8,-41681.2,-41618.5,-41422.6,-41352.6,-40967,-40811.9,-40790,-40501.3,-40314.7,-40325.9,-40702.6,-40283.3,-40254.4,-39140.5,-38987.4,-38856.7,-38611,-38158,-36026.4,-30605.1,-30400.3,-29598.4,-28291.6,-26399.2,
76,-43113.2,-41682.8,-41485.7,-41466.5,-41355.7,-41105.2,-41084,-40907.6,-40790,-40501.3,-40314.7,-40714.8,-40296,-40265.2,-40254.4,-39974.1,-39032,-38650,-38552.4,-38158,-36026.4,-30605.1,-30173,-29741.4,-28291.6,-27411.8,
77,-47147.5,-41682.8,-41637.4,-41435.7,-41356,-41302.4,-41084,-40865,-40790,-40475.4,-40314.7,-40790.8,-40377.1,-40294.7,-40254.4,-39974.1,-39032,-38650,-38237.3,-38158,-36026.4,-30605.1,-30216.1,-29456.3,-28203.2,-22440.4,
78,-47259.5,-41682.8,-41425.1,-41417.7,-41343.5,-41323.1,-41084,-41014.7,-40790,-40475.4,-40314.7,-40528.4,-40631.5,-40294.7,-40273.7,-39974.1,-39032,-38625.7,-38467.4,-38158,-36026.4,-30605.1,-29348.6,-28784.6,-28258.3,-22392,
79,-43999.1,-41682.8,-41595.6,-41589.5,-41094.9,-41050.6,-40872.8,-40821.2,-40709,-40288.5,-40144.1,-40428.7,-40249.3,-40126.2,-40107.2,-39837.9,-38991,-38647.7,-38471.4,-37975.9,-36026.4,-30615.9,-28959.8,-28636.8,-28258.3,-25767.2,
80,-46732.9,-41707,-41643.4,-41342.6,-40933.9,-40893.6,-40862.1,-40853,-40709,-40145.4,-40144.1,-40807.3,-40660.4,-40126.2,-40101.1,-39837.9,-38991,-38647.7,-38095.1,-37975.9,-36026.4,-30620.9,-30416.8,-29033,-28282.2,-26745.4,
